status,title,domain,priority_score,source_kind,current_path,planned_fixtures_path,duplicate_of,notes,catalog_domain,catalog_priority
selected_core,"The Pragmatic Programmer: your journey to mastery, 20th Anniversary Edition, 2nd Edition",software_engineering,98,repo_library,"/home/brandon_behring/Claude/research-kb/fixtures/library_books/(2nd) Andrew Hunt_ David Hurst Thomas - The Pragmatic Programmer_ Your Journey to Mastery, 20th Anniversary Edition-Addison-Wesley Professional (2019).pdf","/home/brandon_behring/Claude/research-kb/fixtures/library_books/(2nd) Andrew Hunt_ David Hurst Thomas - The Pragmatic Programmer_ Your Journey to Mastery, 20th Anniversary Edition-Addison-Wesley Professional (2019).pdf",,catalog_priority=65,software_engineering,65
selected_core,"Unit Testing Principles, Practices, and Patterns",software_engineering,97,repo_library,"/home/brandon_behring/Claude/research-kb/fixtures/library_books/Vladimir Khorikov - Unit Testing Principles, Practices, and Patterns-Manning Publications (2019).pdf","/home/brandon_behring/Claude/research-kb/fixtures/library_books/Vladimir Khorikov - Unit Testing Principles, Practices, and Patterns-Manning Publications (2019).pdf",,catalog_priority=65,software_engineering,65
selected_core,"Fluent Python Clear, Concise, and Effective Programming",software_engineering,96,downloads,"/home/brandon_behring/Downloads/acqusition_books/acqusition_books/Fluent Python_ Clear, Concise, and Effective Programming, -- Luciano Ramalho -- 2nd, 2022 -- Beijing _ O'Reilly Media, Inc -- 9781492056355 -- 6b8f1e751c6d6b82a49cc155099f9949 -- Anna’s Archive.pdf","/home/brandon_behring/Claude/research-kb/fixtures/library_books/Fluent Python_ Clear, Concise, and Effective Programming, -- Luciano Ramalho -- 2nd, 2022 -- Beijing _ O'Reilly Media, Inc -- 9781492056355 -- 6b8f1e751c6d6b82a49cc155099f9949 -- Anna’s Archive.pdf",,download_source,software_engineering,50
selected_core,Effective Python 125 Specific Ways to Write Better Python,software_engineering,95,downloads,"/home/brandon_behring/Downloads/acqusition_books/acqusition_books/Effective Python_ 125 Specific Ways to Write Better Python_ -- Brett Slatkin -- 3, 2024 nov 30 -- Pearson Education, Limited -- 9780138172183 -- 859e2b0eab74efb9626b6b79a353f72a -- Anna’s Archive.pdf","/home/brandon_behring/Claude/research-kb/fixtures/library_books/Effective Python_ 125 Specific Ways to Write Better Python_ -- Brett Slatkin -- 3, 2024 nov 30 -- Pearson Education, Limited -- 9780138172183 -- 859e2b0eab74efb9626b6b79a353f72a -- Anna’s Archive.pdf",,download_source,,
selected_core,Refactoring Improving the Design of Existing Code,software_engineering,94,downloads,"/home/brandon_behring/Downloads/acqusition_books/acqusition_books/Refactoring_ Improving the Design of Existing Code -- Martin Fowler, Kent Beck -- Addison-Wesley Signature Series (Fowler) Ser, 2nd ed, -- 9780134757599 -- f4fc75eb1eee5537400908e6f59db631 -- Anna’s Archive.pdf","/home/brandon_behring/Claude/research-kb/fixtures/library_books/Refactoring_ Improving the Design of Existing Code -- Martin Fowler, Kent Beck -- Addison-Wesley Signature Series (Fowler) Ser, 2nd ed, -- 9780134757599 -- f4fc75eb1eee5537400908e6f59db631 -- Anna’s Archive.pdf",,download_source,,
selected_core,Head First Python,software_engineering,91,repo_library,/home/brandon_behring/Claude/research-kb/fixtures/library_books/Paul Barry - Head First Python  A Brain-Friendly Guide-O'Reilly Media (2016).pdf,/home/brandon_behring/Claude/research-kb/fixtures/library_books/Paul Barry - Head First Python  A Brain-Friendly Guide-O'Reilly Media (2016).pdf,,catalog_priority=60,software_engineering,60
selected_core,API Design Patterns,software_engineering,90,repo_library,/home/brandon_behring/Claude/research-kb/fixtures/library_books/JJ Geewax - API Design Patterns-Manning Publications 2021.pdf,/home/brandon_behring/Claude/research-kb/fixtures/library_books/JJ Geewax - API Design Patterns-Manning Publications 2021.pdf,,catalog_priority=40,software_engineering,40
selected_core,Database Internals A Deep Dive Into How Distributed Data,software_engineering,89,downloads,"/home/brandon_behring/Downloads/acqusition_books/acqusition_books/Database Internals _ A Deep Dive Into How Distributed Data -- Alex Petrov -- O'REILLY, 1, 2019 -- O'Reilly Media, Incorporated -- 9781492040316 -- 05ef18aa9887e93cd3babf136e65001b -- Anna’s Archive.pdf","/home/brandon_behring/Claude/research-kb/fixtures/library_books/Database Internals _ A Deep Dive Into How Distributed Data -- Alex Petrov -- O'REILLY, 1, 2019 -- O'Reilly Media, Incorporated -- 9781492040316 -- 05ef18aa9887e93cd3babf136e65001b -- Anna’s Archive.pdf",,download_source,,
selected_core,Software Engineering for Data Scientists From Notebooks to,software_engineering,88,downloads,"/home/brandon_behring/Downloads/acqusition_books/acqusition_books/Software Engineering for Data Scientists_ From Notebooks to -- Catherine Nelson -- 1 _ converted, 2024 -- O'Reilly Media, Incorporated -- 9781098136178 -- 195635a2e35f97b4e0f3e3a570a43393 -- Anna’s Archive.pdf","/home/brandon_behring/Claude/research-kb/fixtures/library_books/Software Engineering for Data Scientists_ From Notebooks to -- Catherine Nelson -- 1 _ converted, 2024 -- O'Reilly Media, Incorporated -- 9781098136178 -- 195635a2e35f97b4e0f3e3a570a43393 -- Anna’s Archive.pdf",,download_source,software_engineering,20
selected_core,Fundamentals of data engineering plan and build robust,software_engineering,87,downloads,"/home/brandon_behring/Downloads/acqusition_books/acqusition_books/Fundamentals of data engineering _ plan and build robust -- Joe Reis, Matt Housley -- 1 _ converted, 2022 -- O'Reilly Media, Incorporated -- 9781098108274 -- 154c987de8f3d58b451e2479b54661e7 -- Anna’s Archive.pdf","/home/brandon_behring/Claude/research-kb/fixtures/library_books/Fundamentals of data engineering _ plan and build robust -- Joe Reis, Matt Housley -- 1 _ converted, 2022 -- O'Reilly Media, Incorporated -- 9781098108274 -- 154c987de8f3d58b451e2479b54661e7 -- Anna’s Archive.pdf",,download_source,,
selected_core,Data Structures and Algorithms in Python,algorithms,86,repo_library,/home/brandon_behring/Claude/research-kb/fixtures/library_books/Michael T Goodrich Roberto Tamassia Michael H Goldwasser - Data Structures and Algorithms in Python-Wiley 2013.pdf,/home/brandon_behring/Claude/research-kb/fixtures/library_books/Michael T Goodrich Roberto Tamassia Michael H Goldwasser - Data Structures and Algorithms in Python-Wiley 2013.pdf,,catalog_priority=50,algorithms,50
selected_core,Introduction to Algorithms 3rd Edition,algorithms,84,repo_library,"/home/brandon_behring/Claude/research-kb/fixtures/library_books/Thomas H. Cormen, Charles E. Leiserson, Ronald L. Rivest, Clifford Stein - Introduction to Algorithms 3rd Edition (2009).pdf","/home/brandon_behring/Claude/research-kb/fixtures/library_books/Thomas H. Cormen, Charles E. Leiserson, Ronald L. Rivest, Clifford Stein - Introduction to Algorithms 3rd Edition (2009).pdf",,catalog_priority=65,algorithms,65
selected_supporting,"Learning SQL Generate, Manipulate, and Retrieve Data",sql,78,downloads,"/home/brandon_behring/Downloads/acqusition_books/acqusition_books/Learning SQL_ Generate, Manipulate, and Retrieve Data -- Alan Beaulieu -- 2020 -- O'Reilly Media, Incorporated -- 9781492057611 -- 089bb3c2d0f555be4c292251f45c4863 -- Anna’s Archive.pdf","/home/brandon_behring/Claude/research-kb/fixtures/library_books/Learning SQL_ Generate, Manipulate, and Retrieve Data -- Alan Beaulieu -- 2020 -- O'Reilly Media, Incorporated -- 9781492057611 -- 089bb3c2d0f555be4c292251f45c4863 -- Anna’s Archive.pdf",,download_source,,
