tier,title,source_type,status,oop_relevance,current_path,preferred_path,duplicate_of,notes
core_python_oop,Software Design for Python Programmers,book_pdf,already_in_library,"Direct coverage of class design, encapsulation, delegation, loose coupling, inheritance, and design patterns in Python.",/home/brandon_behring/Claude/research-kb/fixtures/library_books/Software_Design_for_Python_Programmers.pdf,/home/brandon_behring/Claude/research-kb/fixtures/library_books/Software_Design_for_Python_Programmers.pdf,,Already staged in fixtures/library_books.
core_python_oop,Practices of the Python Pro,book_pdf,already_in_library,"Strong treatment of separation of concerns, abstraction, encapsulation, inheritance tradeoffs, and loose coupling.",/home/brandon_behring/Claude/research-kb/fixtures/library_books/Practices_of_the_Python_Pro.pdf,/home/brandon_behring/Claude/research-kb/fixtures/library_books/Practices_of_the_Python_Pro.pdf,,Already staged in fixtures/library_books.
core_python_oop,The Well-Grounded Python Developer,book_pdf,already_in_library,"Useful Python design guide for APIs, the object model, composition, inheritance, and maintainable style.",/home/brandon_behring/Claude/research-kb/fixtures/library_books/The_Well-Grounded_Python_Developer.pdf,/home/brandon_behring/Claude/research-kb/fixtures/library_books/The_Well-Grounded_Python_Developer.pdf,,Already staged in fixtures/library_books.
core_python_oop,Fluent Python,book_pdf,move_from_downloads,"Best source here for Python's data model, protocols, dunder methods, composition, and idiomatic class design.","/home/brandon_behring/Downloads/acqusition_books/acqusition_books/Fluent Python_ Clear, Concise, and Effective Programming, -- Luciano Ramalho -- 2nd, 2022 -- Beijing _ O'Reilly Media, Inc -- 9781492056355 -- 6b8f1e751c6d6b82a49cc155099f9949 -- Anna’s Archive.pdf","/home/brandon_behring/Downloads/acqusition_books/acqusition_books/Fluent Python_ Clear, Concise, and Effective Programming, -- Luciano Ramalho -- 2nd, 2022 -- Beijing _ O'Reilly Media, Inc -- 9781492056355 -- 6b8f1e751c6d6b82a49cc155099f9949 -- Anna’s Archive.pdf",,Move from Downloads into fixtures/library_books if you want it staged with the main library.
core_python_oop,Effective Python,book_pdf,move_from_downloads,"Concrete Python best practices for class APIs, inheritance, mixins, composition, and maintainable production code.","/home/brandon_behring/Downloads/acqusition_books/acqusition_books/Effective Python_ 125 Specific Ways to Write Better Python_ -- Brett Slatkin -- 3, 2024 nov 30 -- Pearson Education, Limited -- 9780138172183 -- 859e2b0eab74efb9626b6b79a353f72a -- Anna’s Archive.pdf","/home/brandon_behring/Downloads/acqusition_books/acqusition_books/Effective Python_ 125 Specific Ways to Write Better Python_ -- Brett Slatkin -- 3, 2024 nov 30 -- Pearson Education, Limited -- 9780138172183 -- 859e2b0eab74efb9626b6b79a353f72a -- Anna’s Archive.pdf",,Move from Downloads into fixtures/library_books if you want it staged with the main library.
structured_notes,Software Design for Python Programmers Notes,course_notes,external_reference,"Chapter-by-chapter notes covering class design, encapsulation, delegation, inheritance, and design patterns.",/home/brandon_behring/Claude/course_learning/manning_software_design_python,/home/brandon_behring/Claude/course_learning/manning_software_design_python,,Keep in place as an external note set.
structured_notes,Practices of the Python Pro Notes,course_notes,external_reference,"Structured notes on abstraction, encapsulation, inheritance exceptions, loose coupling, and practical design tradeoffs.",/home/brandon_behring/Claude/course_learning/manning_practices_python_pro,/home/brandon_behring/Claude/course_learning/manning_practices_python_pro,,Keep in place as an external note set.
structured_notes,The Well-Grounded Python Developer Notes,course_notes,external_reference,"Organized notes on Python APIs, object-oriented programming, composition, inheritance, and code style.",/home/brandon_behring/Claude/course_learning/manning_well_grounded_python_dev,/home/brandon_behring/Claude/course_learning/manning_well_grounded_python_dev,,Keep in place as an external note set.
structured_notes,Publishing Python Packages Notes,course_notes,external_reference,"Supporting notes on tests, code quality tooling, CI, and packaging practices that reinforce maintainable Python design.",/home/brandon_behring/Claude/course_learning/manning_publishing_python_packages,/home/brandon_behring/Claude/course_learning/manning_publishing_python_packages,,Keep in place as an external note set.
supporting_classics,Refactoring,book_pdf,move_from_downloads,Essential support text for improving class design safely and cleaning up object-oriented code over time.,"/home/brandon_behring/Downloads/acqusition_books/acqusition_books/Refactoring_ Improving the Design of Existing Code -- Martin Fowler, Kent Beck -- Addison-Wesley Signature Series (Fowler) Ser, 2nd ed, -- 9780134757599 -- f4fc75eb1eee5537400908e6f59db631 -- Anna’s Archive.pdf","/home/brandon_behring/Downloads/acqusition_books/acqusition_books/Refactoring_ Improving the Design of Existing Code -- Martin Fowler, Kent Beck -- Addison-Wesley Signature Series (Fowler) Ser, 2nd ed, -- 9780134757599 -- f4fc75eb1eee5537400908e6f59db631 -- Anna’s Archive.pdf",,Move from Downloads into fixtures/library_books if you want it staged with the main library.
